Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
4.0,2.0,0.0,44.8262795305,-0.57768209,0.0,80.3699781892401
6.0,2.0,0.0,44.8398282129,-0.5768507904,1000.0,125.73417070040159
6.0,3.0,30.0,44.8380923204,-0.5736221662,400.0,133.94606838123855
4.0,1.0,30.0,44.8404052531,-0.5716604403,500.0,88.27756999622852
2.0,1.0,0.0,44.8379274052,-0.5757098074,450.0,61.676943613263575
4.0,1.0,10.0,44.8375485124,-0.5697361,700.0,86.91440667370716
5.0,2.0,30.0,44.8304626666,-0.571664241,0.0,97.4357251594447
4.0,1.0,9.0,44.8456863087,-0.5804867532,250.0,77.01227983232184
4.0,1.0,45.0,44.8391645895,-0.5726568667,0.0,79.19483991485959
4.0,1.0,0.0,44.8457808464,-0.5803104521,700.0,86.52977717360227
4.0,1.0,29.0,44.8356894523,-0.5762600441,1000.0,101.63173160981114
2.0,1.0,0.0,44.8276851752,-0.5935164418,0.0,50.509512061317764
2.0,1.0,45.0,44.8328490461,-0.5721207671,400.0,72.90677824155136
4.0,2.0,20.0,44.8317936272,-0.5808474109,350.0,97.31542057033221
6.0,1.0,30.0,44.8455465241,-0.5805177423,400.0,103.79953750555887
6.0,2.0,0.0,44.8520251441,-0.5862516602,0.0,101.4886318004319
2.0,1.0,0.0,44.8375908104,-0.5916176228,0.0,51.632161174622524
6.0,2.0,30.0,44.8320043137,-0.5685571707,200.0,110.7937682267393
2.0,1.0,0.0,44.8370958334,-0.5717603452,100.0,51.42561480960558
2.0,1.0,20.0,44.8273008973,-0.5644431187,500.0,66.06359989858629
4.0,1.0,0.0,44.8396841326,-0.5694074715,500.0,78.62979802531208
3.0,1.0,20.0,44.8469029419,-0.5787196079,200.0,70.8184416720942
6.0,2.0,0.0,44.8387393498,-0.5846947363,0.0,99.38996050420883
2.0,1.0,0.0,44.8471812206,-0.5942097041,0.0,53.35923508947599
2.0,1.0,0.0,44.831126538,-0.5677896025,250.0,54.108632159551235
2.0,1.0,0.0,44.8568906428,-0.6147355503,0.0,57.6943081664831
2.0,1.0,0.0,44.8465170367,-0.5806726095,1000.0,78.63361862538295
6.0,3.0,0.0,44.8346297439,-0.5679783509,1000.0,139.81612983061495
2.0,1.0,0.0,44.8505589385,-0.5696968861,0.0,50.293790142683974
2.0,1.0,0.0,44.8221465664,-0.565052443,0.0,45.61568651350444
4.0,2.0,0.0,44.8539300995,-0.5726930916,1000.0,110.87272920703344
7.0,3.0,20.0,44.8295526271,-0.5741036146,500.0,140.59490877183362
2.0,1.0,0.0,44.8352872036,-0.573773833,150.0,52.82766625032855
4.0,1.0,0.0,44.8532676372,-0.5846853514,700.0,88.21777056099472
4.0,1.0,15.0,44.8345378986,-0.5702290398,400.0,79.90059600706172
4.0,1.0,0.0,44.8316539111,-0.5832356691,150.0,69.93189286309007
2.0,0.0,0.0,44.8323025965,-0.5633944246,0.0,30.711373916008597
2.0,0.0,30.0,44.8371921136,-0.5749572213,500.0,55.9541810227538
4.0,1.0,15.0,44.8311755513,-0.5943604604,0.0,71.9835002274358
2.0,1.0,10.0,44.840454954,-0.5813242713,300.0,61.819544686766676
2.0,1.0,0.0,44.8226857412,-0.5714869502,0.0,46.621436501788594
5.0,2.0,40.0,44.8573568424,-0.5783041746,700.0,124.38835661697794
3.0,1.0,25.0,44.8432624048,-0.5714945071,300.0,73.53022848578166
2.0,1.0,10.0,44.8410588229,-0.5714104449,0.0,52.275078899670916
1.0,1.0,10.0,44.817963318,-0.5506429114,200.0,43.35727085777489
3.0,1.0,0.0,44.8414836079,-0.581596158,400.0,69.78754348038456
4.0,1.0,0.0,44.8340757314,-0.5811035477,250.0,72.69777982130654
2.0,1.0,25.0,44.83795989,-0.5889581325,300.0,67.18093612630491
3.0,2.0,0.0,44.8285510829,-0.5560965103,0.0,69.44672373571484
2.0,1.0,10.0,44.8364282577,-0.5684958776,200.0,56.665704128603466
10.0,6.0,100.0,44.848072993,-0.592213538,2500.0,297.72512657340303
1.0,1.0,0.0,44.8418588892,-0.5763630054,100.0,44.637628344198674
